,,,,,,
Compressor map,8/13/13,BKP:,2,,,
A1:,0.003019,A2:,0.002463,,,
"Compressor map, sa-charging solutions example, T3=600°C",,,,,,
Cooling Liquids:,T_water [°C],80,T_Oil [°C],,,
NC (rpm),MASSc-kg/s,PRC (T-S),Efficiency (T-S),,,
67612,0.13762,1.12447,0.39117,,,
67579,0.12066,1.20855,0.58070,,,
67557,0.10330,1.26831,0.67976,,,
67569,0.08617,1.30815,0.70039,,,
67559,0.06887,1.33249,0.67859,,,
67568,0.05186,1.34530,0.63053,,,
67559,0.03555,1.34350,0.54751,,,
83735,0.17928,1.13030,0.28257,,,
83729,0.15802,1.30989,0.57963,,,
83725,0.13667,1.42103,0.70122,,,
83743,0.11544,1.49130,0.73639,,,
83715,0.09355,1.53149,0.71727,,,
83670,0.07309,1.55014,0.67819,,,
83685,0.05211,1.54765,0.59430,,,
99810,0.21354,1.18989,0.28012,,,
99838,0.18976,1.50498,0.62225,,,
99821,0.16505,1.66035,0.72558,,,
99875,0.14000,1.76025,0.75172,,,
99814,0.11586,1.79848,0.72665,,,
99831,0.09225,1.81831,0.68959,,,
99865,0.07106,1.81480,0.61786,,,
116057,0.24787,1.26853,0.27707,,,
115986,0.22578,1.77999,0.65415,,,
115967,0.19774,1.98013,0.73690,,,
115966,0.17094,2.10119,0.75311,,,
115956,0.14245,2.14500,0.72270,,,
115967,0.11692,2.15472,0.69098,,,
116007,0.09037,2.15003,0.62908,,,
132019,0.27942,1.36595,0.28053,,,
132271,0.27540,1.81573,0.53498,,,
132050,0.25029,2.25697,0.70858,,,
132092,0.22005,2.48959,0.75090,,,
132090,0.19034,2.56703,0.73787,,,
132112,0.16109,2.56931,0.70043,,,
132112,0.13281,2.56230,0.66454,,,
132123,0.10235,2.53498,0.60132,,,
148218,0.29882,1.47955,0.27978,,,
148355,0.29601,2.15350,0.55066,,,
148173,0.27116,2.85744,0.72140,,,
148279,0.24267,3.07139,0.73850,,,
148193,0.21715,3.10687,0.72119,,,
148253,0.18982,3.06476,0.69188,,,
148248,0.16212,3.01796,0.65273,,,
148243,0.13496,2.99427,0.61566,,,
164376,0.30982,1.63041,0.28662,,,
164356,0.30920,2.29380,0.49440,,,
164227,0.30168,2.96470,0.63467,,,
164356,0.29396,3.30185,0.67802,,,
164396,0.28575,3.47996,0.69564,,,
164376,0.27854,3.57984,0.70130,,,
164513,0.26919,3.65571,0.70371,,,
164316,0.26047,3.67365,0.70194,,,